run_name	upload_status	result_tar_size_bytes	result_tar_path	hf_repo_id	hf_path	hf_url	remote_stage_dir	result_tar_mtime_epoch	stage_mtime_epoch	slurm_logs	sha256
dexjoco_click_mouse_evorl_lerobot_D_episode_topk_smooth_successaware_eval500_20260623_0155	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_D_episode_topk_smooth_successaware_eval500_20260623_0155	0	1782150886	slurm-1684147.out	not_computed
dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_eval500_minexport_20260621_2050	pending_repo_write_access	5740619373	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_eval500_minexport_20260621_2050/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_eval500_minexport_20260621_2050/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_eval500_minexport_20260621_2050/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_eval500_minexport_20260621_2050	1782145573	1782145392	slurm-1680348.out	not_computed
dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_excl4009_20260620_2336	pending_repo_write_access	2728919040	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_excl4009_20260620_2336/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_excl4009_20260620_2336/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_excl4009_20260620_2336/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_excl4009_20260620_2336	1782041996	1782041691	slurm-1678591.out	not_computed
dexjoco_click_mouse_tagsens_B_base_eval500_20260620_1839	pending_repo_write_access	1030831428	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_tagsens_B_base_eval500_20260620_1839/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_tagsens_B_base_eval500_20260620_1839/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_tagsens_B_base_eval500_20260620_1839/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_tagsens_B_base_eval500_20260620_1839	1781969149	1781969117	slurm-1678050.out	not_computed
dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_20260620_2225	pending_repo_write_access	31379	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_20260620_2225/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_20260620_2225/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_20260620_2225/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_hftok_20260620_2225	1781968179	1781968179	slurm-1678507.out	not_computed
dexjoco_click_mouse_tagsens_B_negative_eval500_20260620_1842	pending_repo_write_access	957875537	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_tagsens_B_negative_eval500_20260620_1842/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_tagsens_B_negative_eval500_20260620_1842/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_tagsens_B_negative_eval500_20260620_1842/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_tagsens_B_negative_eval500_20260620_1842	1781968001	1781967972	slurm-1678054.out	not_computed
dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_20260620_1845	pending_repo_write_access	31769	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_20260620_1845/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_20260620_1845/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_20260620_1845/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_C_base_collect_no_acp_20260620_1845	1781954751	1781954751	slurm-1678065.out	not_computed
dexjoco_click_mouse_eval500_A_sharedsrc_v2_20260620_0225	pending_repo_write_access	1222767325	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_eval500_A_sharedsrc_v2_20260620_0225/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_eval500_A_sharedsrc_v2_20260620_0225/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_eval500_A_sharedsrc_v2_20260620_0225/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_eval500_A_sharedsrc_v2_20260620_0225	1781914029	1781913989	slurm-1677397.out	not_computed
dexjoco_click_mouse_eval500_B_sharedsrc_v2_20260620_0225	pending_repo_write_access	986756770	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_eval500_B_sharedsrc_v2_20260620_0225/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_eval500_B_sharedsrc_v2_20260620_0225/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_eval500_B_sharedsrc_v2_20260620_0225/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_eval500_B_sharedsrc_v2_20260620_0225	1781910019	1781909988	slurm-1677398.out	not_computed
dexjoco_click_mouse_eval500_existing_policy_20260619_210959	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_eval500_existing_policy_20260619_210959	0	1781885798		not_computed
